PEOPLE_NEGATIVE_NEW_COUNT,PROVINCE_STATE_CODE,PEOPLE_POSITIVE_CASES_COUNT,DATA_COMPLETENESS_SCORE_NAME,REPORT_DATE,PEOPLE_IN_INTENSIVE_CARE_CURRENTLY_COUNT,PEOPLE_PENDING_CASES_COUNT,PEOPLE_RECOVERED_COUNT,REPORTED_DATE_TIME,PEOPLE_POSITIVE_NEGATIVE_TEST_RESULTS_COUNT,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,PEOPLE_INTUBATED_CUMULATIVE_COUNT,PEOPLE_TEST_RESULTS_NEW_COUNT,PEOPLE_IN_INTENSIVE_CARE_CUMULATIVE_COUNT,PEOPLE_NEGATIVE_CASES_COUNT,PROVINCE_STATE_FIPS_NUMBER,PEOPLE_HOSPITALIZED_NEW_COUNT,PEOPLE_HOSPITALIZED_CUMULATIVE_COUNT,PEOPLE_INTUBATED_CURRENTLY_COUNT,PEOPLE_HOSPITALIZED_CURRENTLY_COUNT,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
1474,ID,10902,A,7/13/2020,22,,3179,7/12/2020 7:00:00 PM,127132,COVID Tracking Project Historical,0,,1871,142,116230,16,9,477,,86,397,102
29129,IL,155931,A,7/13/2020,334,,,7/13/2020 12:00:00 AM,2014126,COVID Tracking Project Historical,6,,30012,,1858195,17,0,,136,1362,883,7394
5337,IN,52037,A+,7/13/2020,255,,38914,7/12/2020 11:59:00 PM,570409,COVID Tracking Project Historical,2,,5762,1601,518372,18,47,7574,71,764,425,2762
11949,KS,20058,A,7/13/2020,,,920,7/13/2020 12:00:00 AM,231175,COVID Tracking Project Historical,4,160,13396,410,211117,20,39,1343,,,1447,288
3451,KY,19653,B,7/13/2020,87,,5344,7/13/2020 12:00:00 AM,441885,COVID Tracking Project Historical,4,,3715,1017,422232,21,12,2791,,440,264,629
16726,LA,79827,B,7/13/2020,,,46334,7/13/2020 1:00:00 PM,953426,COVID Tracking Project Historical,7,,18431,,873599,22,0,,142,1308,1705,3423
8433,MA,111827,A+,7/13/2020,89,,94347,7/13/2020 4:00:00 PM,966143,COVID Tracking Project Historical,5,,8663,,854316,25,3,11611,46,570,230,8330
8148,MD,73527,A,7/13/2020,108,,5230,7/13/2020 10:00:00 AM,651957,COVID Tracking Project Historical,6,,8566,,578430,24,47,11467,,386,418,3325
1629,ME,3558,A+,7/13/2020,8,,3008,7/12/2020 11:59:00 PM,123962,COVID Tracking Project Historical,0,,1648,,120404,23,1,372,3,18,19,114
16850,MI,77198,A+,7/13/2020,184,,53867,7/13/2020 12:00:00 AM,1313427,COVID Tracking Project Historical,7,,17272,,1236229,26,0,,113,543,422,6321
13446,MN,42772,A,7/13/2020,114,,37199,7/12/2020 5:00:00 PM,768989,COVID Tracking Project Historical,2,,13937,1338,726217,27,25,4424,,247,491,1542
9822,MO,27890,B,7/13/2020,,,,7/13/2020 3:00:00 PM,495777,COVID Tracking Project Historical,14,,10269,,467887,29,0,,89,932,447,1083
0,MP,33,D,7/13/2020,,,19,7/12/2020 1:16:00 PM,10767,COVID Tracking Project Historical,0,,0,,10734,69,0,4,,,0,2
